airbnb_id,beds,is_rebookable,is_business_travel_ready,is_family_preferred,is_superhost,picture_count,lat,lng,localized_city,localized_neighborhood,name,person_capacity,reviews_count,room_type,space_type,star_rating,can_instant_book,monthly_price_factor,rate_amount,rate_amount_formatted,rate_amount_micros,rate_currency,weekly_price_factor,state
16345104,2,0,0,0,0,12,30.28891401,-97.77407452,Austin,West Austin,2/2 close to Downtown Austin and Zilker Park,3,0,Entire home/apt,Entire condominium,,0,1,300,$300 ,,USD,1,TX
16347610,6,0,0,1,0,76,30.27257692,-97.71552272,Austin,Rosewood,Gorgeous Modern Bungalows + Tiny House-6 bedrooms!,12,24,Entire home/apt,Entire house,5,0,0.75,498,$498 ,,USD,0.85,TX
16348637,1,0,0,0,0,6,30.33601006,-97.76715629,Austin,Northwest Hills,Appartment BeverlyHills Hood near down town,2,5,Private room,Private room,5,1,0.72,67,$67 ,,USD,0.9,TX
16351634,2,0,1,0,0,12,30.37120485,-97.73603686,Austin,North Shoal Creek,Austin Getaway by the Pool!,4,5,Entire home/apt,Entire apartment,4.5,0,0.7,47,$47 ,,USD,0.8,TX
16360344,1,0,0,0,0,9,30.27516622,-97.70616374,Austin,Rosewood,The Modern Barracks of East Austin,3,12,Entire home/apt,Entire house,4.5,1,0.5,65,$65 ,,USD,0.8,TX
16361847,2,0,1,0,0,7,30.30818524,-97.72818195,Austin,,Hyde Park Studio,4,13,Entire home/apt,Entire apartment,4.5,0,1,88,$88 ,,USD,1,TX
16362287,2,0,0,0,0,5,30.25774809,-97.75675158,Austin,,"Bright and Modern, near DT and Zilker!",4,0,Entire home/apt,Entire apartment,,0,1,89,$89 ,,USD,1,TX
16375101,1,0,0,0,0,5,30.35881882,-97.74162015,Austin,,Comfy private bedroom in great location,2,2,Private room,Private room,,0,0.85,50,$50 ,,USD,0.9,TX
16375175,2,0,0,0,0,5,30.30396798,-97.68708917,Austin,Windsor Park,COZY Duplex/High Ceilings in Central East Austin,4,3,Entire home/apt,Entire house,5,1,0.9,125,$125 ,,USD,0.95,TX
16378768,2,0,0,0,1,3,30.25654072,-97.75161519,Austin,South First,Shared Downtown Apartment,2,20,Private room,Private room,5,1,1,70,$70 ,,USD,0.8,TX
