,airbnb_id,amount_formatted,beds,can_instant_book,currency,is_business,is_rebookable,is_superhost,lat,lng,localized_city,localized_neighborhood,monthly_price_factor,name,person_capacity,picture_count,rate_amount,reviews_count,room_type,space_type,star_rating,weekly_price_factor
982,20883147.0,$245,6.0,0.0,USD,0.0,0.0,0.0,35.04919586233421,-106.51156809490432,Albuquerque,,0.8,Modern two story near shopping and more.,8.0,20.0,245.0,5.0,Entire home/apt,Entire house,5.0,0.85
983,27961220.0,$48,1.0,1.0,USD,0.0,0.0,0.0,35.0894256494317,-106.50036383550878,Albuquerque,,1.0,Casita Hermosa. Habitación 1.,4.0,13.0,48.0,4.0,Private room,Private room,4.5,0.78
984,15074370.0,$90,1.0,0.0,USD,0.0,0.0,1.0,35.082294,-106.663139,Albuquerque,,0.6,"Downtown jewel, Top End Kitchen, sleeper sofa too!",2.0,8.0,90.0,11.0,Entire home/apt,Entire guest suite,5.0,1.0
985,8310981.0,$99,1.0,0.0,USD,0.0,0.0,1.0,35.094211609910694,-106.69766668807654,Albuquerque,,1.0,HaciendadeSoto/Juanita Room for 1–2,2.0,46.0,99.0,21.0,Private room,Private room,5.0,1.0
986,24822089.0,$311,6.0,1.0,USD,0.0,0.0,0.0,35.214290351527765,-106.6223381376777,Corrales,,1.0,NEW! Corrales New Mexican Villa w/ Patio & Pond!,12.0,27.0,311.0,4.0,Entire home/apt,Entire villa,3.0,1.0
987,23571761.0,$105,2.0,0.0,USD,0.0,0.0,0.0,35.25636660043288,-106.64891372915392,Rio Rancho,,1.0,Custom home with views. Located in Rio Rancho.,4.0,7.0,105.0,3.0,Private room,Private room,5.0,1.0
988,10676340.0,$120,2.0,0.0,USD,0.0,0.0,0.0,35.13756722778376,-106.51824592188616,Albuquerque,,1.0,Upscale Spacious 2/3; Surrounded in Comfort,5.0,22.0,120.0,10.0,Entire home/apt,Entire house,5.0,0.98
989,28939757.0,$99,3.0,1.0,USD,0.0,0.0,0.0,35.21436147872113,-106.69549098263971,Albuquerque,,1.0,Home Away from Home,8.0,23.0,99.0,0.0,Entire home/apt,Entire townhouse,,1.0
990,20971121.0,$70,3.0,1.0,USD,0.0,0.0,1.0,35.113123161220955,-106.64371622199099,Albuquerque,,0.6,Newly Remodeled Centrally Located Home!,6.0,14.0,70.0,62.0,Entire home/apt,Entire house,5.0,0.8
991,29308229.0,$18,1.0,0.0,USD,0.0,0.0,0.0,35.07632805752567,-106.60117824972546,Albuquerque,,1.0,temp. stay,2.0,1.0,18.0,0.0,Private room,Private room,,1.0
992,10207961.0,$42,1.0,1.0,USD,0.0,0.0,1.0,35.09989398249359,-106.6585902612204,Albuquerque,,0.85,A Walk to ABQ's Historic Old Town,3.0,25.0,42.0,122.0,Private room,Private room,5.0,0.95
993,28056672.0,$79,3.0,0.0,USD,0.0,0.0,0.0,35.106047181352224,-106.67321308783752,Albuquerque,,0.75,Walk to Old Town! Stunning Home with Hot Tub,6.0,16.0,79.0,3.0,Entire home/apt,Entire house,5.0,0.9
994,23803996.0,$29,1.0,1.0,USD,0.0,0.0,0.0,35.068146,-106.497955,Albuquerque,,1.0,RV/Campsite w/ POOL & Hot Tub & Mt Views,2.0,60.0,29.0,7.0,Entire home/apt,Campsite,4.5,1.0
995,28140633.0,$75,5.0,0.0,USD,0.0,0.0,0.0,35.07952242530823,-106.62916457414681,Albuquerque,,0.8,The Tingley House of Albuquerque,8.0,17.0,75.0,3.0,Entire home/apt,Entire house,5.0,0.95
996,24411629.0,$76,1.0,1.0,USD,0.0,0.0,1.0,35.24427299421946,-106.63439361431224,Corrales,,0.7,"Corrales Casita, Amazing views with comfort.",2.0,15.0,76.0,13.0,Entire home/apt,Entire guesthouse,5.0,0.79
997,15974228.0,$65,2.0,0.0,USD,0.0,0.0,1.0,35.08450541079204,-106.66393286613194,Albuquerque,,0.6,Huning Castle Casita,3.0,10.0,65.0,72.0,Entire home/apt,Entire guesthouse,5.0,0.8
998,1767891.0,$124,2.0,1.0,USD,0.0,0.0,0.0,35.28034181495187,-106.60170617520957,Rio Rancho,,0.6,Spectacular New Mexico Views!,5.0,19.0,124.0,6.0,Entire home/apt,Entire apartment,5.0,0.9
999,24896275.0,$23,1.0,1.0,USD,0.0,0.0,0.0,35.09775372892354,-106.50542132859185,Albuquerque,,1.0,Plat of Breeze,2.0,8.0,23.0,8.0,Private room,Private room,5.0,0.79
1000,26690977.0,$50,2.0,1.0,USD,0.0,0.0,0.0,35.0920830488476,-106.66337300685464,Albuquerque,,0.71,Casita Mariposa,4.0,24.0,50.0,48.0,Entire home/apt,Entire guesthouse,4.5,0.84
1001,20875641.0,$30,1.0,0.0,USD,0.0,0.0,1.0,35.08280180458289,-106.65699688928488,Albuquerque,,0.75,Spacious Downtown Room! Everything You Need!,2.0,13.0,30.0,84.0,Private room,Private room,5.0,1.0
1002,5894691.0,$250,1.0,0.0,USD,0.0,0.0,0.0,35.03499092844599,-107.09825159354466,Laguna,,0.86,"Sky City Suite in To'hajiillee, NM",2.0,5.0,250.0,0.0,Private room,Private room,,1.0
1003,25920537.0,$39,1.0,1.0,USD,0.0,0.0,1.0,35.129430538752715,-106.71240993384326,Albuquerque,,0.7,BRONCO Room!,2.0,1.0,39.0,1.0,Private room,Private room,,0.9
1004,23395980.0,$100,2.0,1.0,USD,0.0,0.0,0.0,35.10614508809076,-106.61563647182246,Albuquerque,,0.51,The Q @Vassar,4.0,11.0,100.0,1.0,Entire home/apt,Entire apartment,,1.0
1005,20696301.0,$59,1.0,0.0,USD,0.0,0.0,0.0,35.09787,-106.603889,Albuquerque,,0.8,The Roxbury Casa 08C,2.0,4.0,59.0,0.0,Entire home/apt,Entire apartment,,0.85
1006,2460938.0,$76,2.0,0.0,USD,0.0,0.0,1.0,35.149005980842915,-106.64679172357431,Albuquerque,,0.65,"Charming, private Adobe Casita in the North Valley",3.0,12.0,76.0,163.0,Entire home/apt,Entire guesthouse,5.0,0.84
1007,18489748.0,$248,6.0,1.0,USD,0.0,0.0,0.0,35.30740738075391,-106.49332281855565,Placitas,,0.51,Southwestern Luxury home with spectacular views,10.0,18.0,248.0,11.0,Entire home/apt,Entire house,5.0,0.79
1008,22562687.0,$90,2.0,0.0,USD,0.0,0.0,0.0,35.1459531729323,-106.69712203332543,Albuquerque,,0.75,Your home away from home,4.0,5.0,90.0,2.0,Entire home/apt,Entire house,,1.0
1009,23436377.0,$16,1.0,0.0,USD,0.0,0.0,1.0,35.016134816542866,-106.65390987548422,Albuquerque,,1.0,Airport and Interstate 25 are within minutes,2.0,11.0,16.0,52.0,Private room,Private room,5.0,1.0
1010,27458505.0,$43,1.0,1.0,USD,0.0,0.0,0.0,35.14478397442552,-106.63727606515855,Albuquerque,,0.7,Cozy North Valley Casita!,3.0,27.0,43.0,6.0,Entire home/apt,Entire guesthouse,5.0,0.87
1011,28805851.0,$75,5.0,1.0,USD,0.0,0.0,0.0,35.15451967439276,-106.57945298500391,Albuquerque,,1.0,Entire Home! Centrally located!,7.0,8.0,75.0,4.0,Entire home/apt,Entire house,4.5,0.83
